,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
14,1975-01-01,0.09097620446369149,0.0017752124899671773,0.16166665692305793,0.09097620446369149,0.09097620446369149,-0.01299557645268815,-0.01299557645268815,-0.01299557645268815,-0.01299557645268815,-0.01299557645268815,-0.01299557645268815,0.0,0.0,0.0,0.07798062801100335
15,1976-01-01,0.10599381691864701,0.013007436126748435,0.1728392354005878,0.10599381691864701,0.10599381691864701,-0.016048364537380233,-0.016048364537380233,-0.016048364537380233,-0.016048364537380233,-0.016048364537380233,-0.016048364537380233,0.0,0.0,0.0,0.08994545238126678
16,1977-01-01,0.12106201848547986,0.024262729869197638,0.18603587772815244,0.12106201848547986,0.12106201848547986,-0.01406677393845371,-0.01406677393845371,-0.01406677393845371,-0.01406677393845371,-0.01406677393845371,-0.01406677393845371,0.0,0.0,0.0,0.10699524454702615
17,1978-01-01,0.13608905010267658,0.04201460115818205,0.21381847025746764,0.13608905010267658,0.13608905010267658,-0.01233549833333411,-0.01233549833333411,-0.01233549833333411,-0.01233549833333411,-0.01233549833333411,-0.01233549833333411,0.0,0.0,0.0,0.12375355176934247
18,1979-01-01,0.15116617299966645,0.053088548040802146,0.21627118518362629,0.15116617299966645,0.15116617299966645,-0.012995576452688569,-0.012995576452688569,-0.012995576452688569,-0.012995576452688569,-0.012995576452688569,-0.012995576452688569,0.0,0.0,0.0,0.1381705965469779
19,1980-01-01,0.1662432958966563,0.07106298487499926,0.22897655172203998,0.1662432958966563,0.1662432958966563,-0.016048364537383585,-0.016048364537383585,-0.016048364537383585,-0.016048364537383585,-0.016048364537383585,-0.016048364537383585,0.0,0.0,0.0,0.1501949313592727
20,1981-01-01,0.18137043128952612,0.085153772930598,0.2494280256532574,0.18137043128952612,0.18137043128952612,-0.014066773938455806,-0.014066773938455806,-0.014066773938455806,-0.014066773938455806,-0.014066773938455806,-0.014066773938455806,0.0,0.0,0.0,0.1673036573510703
21,1982-01-01,0.1964562357113772,0.09952309541766266,0.2629118206108475,0.1964562357113772,0.1964562357113772,-0.01233549833333432,-0.01233549833333432,-0.01233549833333432,-0.01233549833333432,-0.01233549833333432,-0.01233549833333432,0.0,0.0,0.0,0.18412073737804285
22,1983-01-01,0.2115466263401017,0.1142083986709246,0.2785439002638386,0.2115466263401017,0.2115466263401017,-0.01299557645268836,-0.01299557645268836,-0.01299557645268836,-0.01299557645268836,-0.01299557645268836,-0.01299557645268836,0.0,0.0,0.0,0.19855104988741334
23,1984-01-01,0.2266370169688263,0.1327891311222323,0.2942361007885372,0.2266370169688263,0.2266370169688263,-0.016048364537386308,-0.016048364537386308,-0.016048364537386308,-0.016048364537386308,-0.016048364537386308,-0.016048364537386308,0.0,0.0,0.0,0.21058865243143998
24,1985-01-01,0.24177804868677213,0.1424316535585807,0.30319427151667155,0.24177804868677213,0.24177804868677213,-0.014066773938452454,-0.014066773938452454,-0.014066773938452454,-0.014066773938452454,-0.014066773938452454,-0.014066773938452454,0.0,0.0,0.0,0.22771127474831968
25,1986-01-01,0.2568844073760245,0.16192224690877957,0.32880858326542634,0.2568844073760245,0.2568844073760245,-0.012335498333334948,-0.012335498333334948,-0.012335498333334948,-0.012335498333334948,-0.012335498333334948,-0.012335498333334948,0.0,0.0,0.0,0.24454890904268958
26,1987-01-01,0.2719907660652769,0.17467405830153654,0.3389137391959273,0.2719907660652769,0.2719907660652769,-0.012995576452682076,-0.012995576452682076,-0.012995576452682076,-0.012995576452682076,-0.012995576452682076,-0.012995576452682076,0.0,0.0,0.0,0.2589951896125948
27,1988-01-01,0.28710701287245693,0.18642991434087672,0.35708372740063055,0.28710701287245693,0.28710701287245693,-0.016048364537383165,-0.016048364537383165,-0.016048364537383165,-0.016048364537383165,-0.016048364537383165,-0.016048364537383165,0.0,0.0,0.0,0.27105864833507376
28,1989-01-01,0.3022646740544511,0.2068640127044431,0.3690761357385958,0.3022646740544511,0.3022646740544511,-0.01406677393846146,-0.01406677393846146,-0.01406677393846146,-0.01406677393846146,-0.01406677393846146,-0.01406677393846146,0.0,0.0,0.0,0.28819790011598967
29,1990-01-01,0.31738318730271853,0.22115226595638285,0.3889056878330299,0.31738318730271853,0.31738318730271853,-0.0123354983333339,-0.0123354983333339,-0.0123354983333339,-0.0123354983333339,-0.0123354983333339,-0.0123354983333339,0.0,0.0,0.0,0.3050476889693846
30,1991-01-01,0.33250170055098616,0.24026227581722523,0.399413503388186,0.33250170055098616,0.33250170055098616,-0.012995576452690037,-0.012995576452690037,-0.012995576452690037,-0.012995576452690037,-0.012995576452690037,-0.012995576452690037,0.0,0.0,0.0,0.3195061240982961
31,1992-01-01,0.3476274899967789,0.2501119053906971,0.41346232903436875,0.3476274899967789,0.3476274899967789,-0.016048364537387772,-0.016048364537387772,-0.016048364537387772,-0.016048364537387772,-0.016048364537387772,-0.016048364537387772,0.0,0.0,0.0,0.3315791254593911
32,1993-01-01,0.3627947199616013,0.27132830070396596,0.43348077377353333,0.3627947199616013,0.3627947199616013,-0.014066773938447217,-0.014066773938447217,-0.014066773938447217,-0.014066773938447217,-0.014066773938447217,-0.014066773938447217,0.0,0.0,0.0,0.34872794602315405
