,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
18,1977-01-01,-0.12950303964884882,0.01759025568535082,0.2731082257188077,-0.12950303964884882,-0.12950303964884882,0.2722960469131087,0.2722960469131087,0.2722960469131087,0.2722960469131087,0.2722960469131087,0.2722960469131087,0.0,0.0,0.0,0.1427930072642599
19,1978-01-01,-0.1127370528246207,0.030531915655075594,0.29294283870549337,-0.1127370528246207,-0.1127370528246207,0.27156174000000755,0.27156174000000755,0.27156174000000755,0.27156174000000755,0.27156174000000755,0.27156174000000755,0.0,0.0,0.0,0.15882468717538684
20,1979-01-01,-0.09597106600039267,0.037983295451793936,0.29425711972502644,-0.09597106600039267,-0.09597106600039267,0.26178891485642114,0.26178891485642114,0.26178891485642114,0.26178891485642114,0.26178891485642114,0.26178891485642114,0.0,0.0,0.0,0.16581784885602846
21,1980-01-01,-0.07920493514508858,0.0325055195582443,0.29411762650207146,-0.07920493514508858,-0.07920493514508858,0.2429876673705918,0.2429876673705918,0.2429876673705918,0.2429876673705918,0.2429876673705918,0.2429876673705918,0.0,0.0,0.0,0.1637827322255032
22,1981-01-01,-0.062392869684701445,0.07844434864393851,0.34336903232002364,-0.062392869684701445,-0.062392869684701445,0.2722960469131033,0.2722960469131033,0.2722960469131033,0.2722960469131033,0.2722960469131033,0.2722960469131033,0.0,0.0,0.0,0.20990317722840182
23,1982-01-01,-0.045616242800363596,0.09503539072749279,0.3601338650669441,-0.045616242800363596,-0.045616242800363596,0.2715617399999985,0.2715617399999985,0.2715617399999985,0.2715617399999985,0.2715617399999985,0.2715617399999985,0.0,0.0,0.0,0.22594549719963491
24,1983-01-01,-0.028839615916025695,0.10433515480889036,0.3593146850345373,-0.028839615916025695,-0.028839615916025695,0.26178891485639944,0.26178891485639944,0.26178891485639944,0.26178891485639944,0.26178891485639944,0.26178891485639944,0.0,0.0,0.0,0.23294929894037375
25,1984-01-01,-0.012060970907908815,0.10046772670387547,0.371223916820585,-0.012060970907908815,-0.012060970907908815,0.24298766737057187,0.24298766737057187,0.24298766737057187,0.24298766737057187,0.24298766737057187,0.24298766737057187,0.0,0.0,0.0,0.23092669646266306
26,1985-01-01,0.004764186398240198,0.14812258430216813,0.41330719765225976,0.004764186398240198,0.004764186398240198,0.27229604691311055,0.27229604691311055,0.27229604691311055,0.27229604691311055,0.27229604691311055,0.27229604691311055,0.0,0.0,0.0,0.27706023331135077
27,1986-01-01,0.021543373329235765,0.1635986421451031,0.42416580745768023,0.021543373329235765,0.021543373329235765,0.2715617400000157,0.2715617400000157,0.2715617400000157,0.2715617400000157,0.2715617400000157,0.2715617400000157,0.0,0.0,0.0,0.2931051133292515
28,1987-01-01,0.03832791591557891,0.16778223857691654,0.4362476969794503,0.03832791591557891,0.03832791591557891,0.26178891485646194,0.26178891485646194,0.26178891485646194,0.26178891485646194,0.26178891485646194,0.26178891485646194,0.0,0.0,0.0,0.3001168307720409
