,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
10,1969-01-01,27.088558875002313,324.0065911778461,324.8455456537605,27.088558875002313,27.088558875002313,297.3296356638706,297.3296356638706,297.3296356638706,297.3296356638706,297.3296356638706,297.3296356638706,0.0,0.0,0.0,324.4181945388729
11,1970-01-01,28.196427884751156,325.10442563240497,325.93879581642494,28.196427884751156,28.196427884751156,297.31945219785,297.31945219785,297.31945219785,297.31945219785,297.31945219785,297.31945219785,0.0,0.0,0.0,325.51588008260114
12,1971-01-01,29.304296894500002,326.21168173868006,327.0121163444189,29.304296894500002,29.304296894500002,297.3131399512195,297.3131399512195,297.3131399512195,297.3131399512195,297.3131399512195,297.3131399512195,0.0,0.0,0.0,326.6174368457195
13,1972-01-01,30.460381979903715,327.39740057546663,328.18238427303146,30.460381979903715,30.460381979903715,297.3333339946207,297.3333339946207,297.3333339946207,297.3333339946207,297.3333339946207,297.3333339946207,0.0,0.0,0.0,327.79371597452445
14,1973-01-01,31.61963442170579,328.55374497892416,329.38508228847144,31.61963442170579,31.61963442170579,297.32963566386184,297.32963566386184,297.32963566386184,297.32963566386184,297.32963566386184,297.32963566386184,0.0,0.0,0.0,328.9492700855676
15,1974-01-01,32.77323339255731,329.6817870219331,330.5057266106195,32.77323339255731,32.77323339255731,297.3194521978495,297.3194521978495,297.3194521978495,297.3194521978495,297.3194521978495,297.3194521978495,0.0,0.0,0.0,330.0926855904068
16,1975-01-01,33.92683236340881,330.8045443018761,331.62705977901663,33.92683236340881,33.92683236340881,297.31313995122485,297.31313995122485,297.31313995122485,297.31313995122485,297.31313995122485,297.31313995122485,0.0,0.0,0.0,331.2399723146337
17,1976-01-01,35.1886439156279,332.107719141245,332.90299734482,35.1886439156279,35.1886439156279,297.33333399462276,297.33333399462276,297.33333399462276,297.33333399462276,297.33333399462276,297.33333399462276,0.0,0.0,0.0,332.52197791025065
18,1977-01-01,36.45391248579826,333.374510417595,334.2115006966681,36.45391248579826,36.45391248579826,297.32963566386064,297.32963566386064,297.32963566386064,297.32963566386064,297.32963566386064,297.32963566386064,0.0,0.0,0.0,333.7835481496589
19,1978-01-01,38.021036045274705,334.91373110669696,335.73287847592724,38.021036045274705,38.021036045274705,297.31945219784893,297.31945219784893,297.31945219784893,297.31945219784893,297.31945219784893,297.31945219784893,0.0,0.0,0.0,335.3404882431236
20,1979-01-01,39.58815960475114,336.5213308796248,337.2786027091907,39.58815960475114,39.58815960475114,297.3131399512271,297.3131399512271,297.3131399512271,297.3131399512271,297.3131399512271,297.3131399512271,0.0,0.0,0.0,336.9012995559782
21,1980-01-01,41.15528329086109,338.0723755755681,338.87416107345865,41.15528329086109,41.15528329086109,297.33333399463135,297.33333399463135,297.33333399463135,297.33333399463135,297.33333399463135,297.33333399463135,0.0,0.0,0.0,338.4886172854924
22,1981-01-01,42.726700466522026,339.6448212981337,340.48744820694134,42.726700466522026,42.726700466522026,297.3296356638768,297.3296356638768,297.3296356638768,297.3296356638768,297.3296356638768,297.3296356638768,0.0,0.0,0.0,340.0563361303988
23,1982-01-01,44.29382424850487,341.20161836720087,342.0133307975389,44.29382424850487,44.29382424850487,297.3194521978559,297.3194521978559,297.3194521978559,297.3194521978559,297.3194521978559,297.3194521978559,0.0,0.0,0.0,341.61327644636077
24,1983-01-01,45.86094803048771,342.75516977056196,343.59228464432687,45.86094803048771,45.86094803048771,297.31313995118893,297.31313995118893,297.31313995118893,297.31313995118893,297.31313995118893,297.31313995118893,0.0,0.0,0.0,343.1740879816766
